,ID,campo,lst_v,cod_list,reg,E_Brent,opex_pc,capex_pb,Oil,Gas_Prod,Gross_Fluid,Water_Injected,Producer_Well,Water_Injection_Well,total_opex,Perforacion,Facilidades,Abandono,total_capex,VPN_Total,volumen_T_LE_p,Payout
64,64,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,25,0.9,0.9,66871.9352,0,491060.8357,2302685.9596,10660.1223,682.7036,2871961.5563,1925960.667,1736560.9048,81714.5532,3879536.7247,-1571203.4097,97244.90571904165,50.0
65,65,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,30,0.9,0.9,66871.9352,0,491060.8357,2302685.9596,10660.1223,682.7036,2871961.5563,1925960.667,1736560.9048,81714.5532,3879536.7247,-1571203.4097,97244.90571904165,50.0
66,66,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,35,0.9,0.9,66871.9352,0,491060.8357,2302685.9596,10660.1223,682.7036,2871961.5563,1925960.667,1736560.9048,81714.5532,3879536.7247,-1571203.4097,97244.90571904165,50.0
67,67,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,40,0.9,0.9,66871.9352,0,491060.8357,2302685.9596,10660.1223,682.7036,2871961.5563,1925960.667,1736560.9048,81714.5532,3879536.7247,-1571203.4097,97244.90571904165,50.0
68,68,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,45,0.9,0.9,66871.9352,0,491060.8357,2302685.9596,10660.1223,682.7036,2871961.5563,1925960.667,1736560.9048,81714.5532,3879536.7247,-1571203.4097,97244.90571904165,50.0
69,69,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,50,0.9,0.9,66871.9352,0,491060.8357,2302685.9596,10660.1223,682.7036,2871961.5563,1925960.667,1736560.9048,81714.5532,3879536.7247,-1571203.4097,97244.90571904165,50.0
70,70,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,55,0.9,0.9,66871.9352,0,491060.8357,2302685.9596,10660.1223,682.7036,2871961.5563,1925960.667,1736560.9048,81714.5532,3879536.7247,-1571203.4097,97244.90571904165,50.0
71,71,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,60,0.9,0.9,66871.9352,0,491060.8357,2302685.9596,10660.1223,682.7036,2871961.5563,1925960.667,1736560.9048,81714.5532,3879536.7247,-1571203.4097,97244.90571904165,50.0
72,72,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,25,0.9,0.9,66871.9352,0,491060.8357,2302685.9596,10660.1223,682.7036,2871961.5563,1925960.667,1736560.9048,81714.5532,3879536.7247,-1431981.591,116387.98834591618,50.0
73,73,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,30,0.9,0.9,66871.9352,0,491060.8357,2302685.9596,10660.1223,682.7036,2871961.5563,1925960.667,1736560.9048,81714.5532,3879536.7247,-1431981.591,116387.98834591618,50.0
74,74,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,35,0.9,0.9,66871.9352,0,491060.8357,2302685.9596,10660.1223,682.7036,2871961.5563,1925960.667,1736560.9048,81714.5532,3879536.7247,-1431981.591,116387.98834591618,50.0
75,75,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,40,0.9,0.9,66871.9352,0,491060.8357,2302685.9596,10660.1223,682.7036,2871961.5563,1925960.667,1736560.9048,81714.5532,3879536.7247,-1431981.591,116387.98834591618,50.0
76,76,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,45,0.9,0.9,66871.9352,0,491060.8357,2302685.9596,10660.1223,682.7036,2871961.5563,1925960.667,1736560.9048,81714.5532,3879536.7247,-1431981.591,116387.98834591618,50.0
77,77,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,50,0.9,0.9,66871.9352,0,491060.8357,2302685.9596,10660.1223,682.7036,2871961.5563,1925960.667,1736560.9048,81714.5532,3879536.7247,-1431981.591,116387.98834591618,50.0
78,78,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,55,0.9,0.9,66871.9352,0,491060.8357,2302685.9596,10660.1223,682.7036,2871961.5563,1925960.667,1736560.9048,81714.5532,3879536.7247,-1431981.591,116387.98834591618,50.0
79,79,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,60,0.9,0.9,66871.9352,0,491060.8357,2302685.9596,10660.1223,682.7036,2871961.5563,1925960.667,1736560.9048,81714.5532,3879536.7247,-1431981.591,116387.98834591618,50.0
80,80,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,25,0.9,0.8,66871.9352,0,491060.8357,2302685.9596,10660.1223,682.7036,2871961.5563,1711965.0373,1543609.6932,72635.1584,3448477.0887,-1353868.1956,97244.90571904165,50.0
81,81,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,30,0.9,0.8,66871.9352,0,491060.8357,2302685.9596,10660.1223,682.7036,2871961.5563,1711965.0373,1543609.6932,72635.1584,3448477.0887,-1353868.1956,97244.90571904165,50.0
82,82,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,35,0.9,0.8,66871.9352,0,491060.8357,2302685.9596,10660.1223,682.7036,2871961.5563,1711965.0373,1543609.6932,72635.1584,3448477.0887,-1353868.1956,97244.90571904165,50.0
83,83,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,40,0.9,0.8,66871.9352,0,491060.8357,2302685.9596,10660.1223,682.7036,2871961.5563,1711965.0373,1543609.6932,72635.1584,3448477.0887,-1353868.1956,97244.90571904165,50.0
84,84,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,45,0.9,0.8,66871.9352,0,491060.8357,2302685.9596,10660.1223,682.7036,2871961.5563,1711965.0373,1543609.6932,72635.1584,3448477.0887,-1353868.1956,97244.90571904165,50.0
85,85,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,50,0.9,0.8,66871.9352,0,491060.8357,2302685.9596,10660.1223,682.7036,2871961.5563,1711965.0373,1543609.6932,72635.1584,3448477.0887,-1353868.1956,97244.90571904165,50.0
86,86,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,55,0.9,0.8,66871.9352,0,491060.8357,2302685.9596,10660.1223,682.7036,2871961.5563,1711965.0373,1543609.6932,72635.1584,3448477.0887,-1353868.1956,97244.90571904165,50.0
87,87,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,60,0.9,0.8,66871.9352,0,491060.8357,2302685.9596,10660.1223,682.7036,2871961.5563,1711965.0373,1543609.6932,72635.1584,3448477.0887,-1353868.1956,97244.90571904165,50.0
88,88,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,25,0.9,0.8,66871.9352,0,491060.8357,2302685.9596,10660.1223,682.7036,2871961.5563,1711965.0373,1543609.6932,72635.1584,3448477.0887,-1218211.483,116387.98834591618,50.0
89,89,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,30,0.9,0.8,66871.9352,0,491060.8357,2302685.9596,10660.1223,682.7036,2871961.5563,1711965.0373,1543609.6932,72635.1584,3448477.0887,-1218211.483,116387.98834591618,50.0
90,90,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,35,0.9,0.8,66871.9352,0,491060.8357,2302685.9596,10660.1223,682.7036,2871961.5563,1711965.0373,1543609.6932,72635.1584,3448477.0887,-1218211.483,116387.98834591618,50.0
91,91,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,40,0.9,0.8,66871.9352,0,491060.8357,2302685.9596,10660.1223,682.7036,2871961.5563,1711965.0373,1543609.6932,72635.1584,3448477.0887,-1218211.483,116387.98834591618,50.0
92,92,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,45,0.9,0.8,66871.9352,0,491060.8357,2302685.9596,10660.1223,682.7036,2871961.5563,1711965.0373,1543609.6932,72635.1584,3448477.0887,-1218211.483,116387.98834591618,50.0
93,93,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,50,0.9,0.8,66871.9352,0,491060.8357,2302685.9596,10660.1223,682.7036,2871961.5563,1711965.0373,1543609.6932,72635.1584,3448477.0887,-1218211.483,116387.98834591618,50.0
94,94,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,55,0.9,0.8,66871.9352,0,491060.8357,2302685.9596,10660.1223,682.7036,2871961.5563,1711965.0373,1543609.6932,72635.1584,3448477.0887,-1218211.483,116387.98834591618,50.0
95,95,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,60,0.9,0.8,66871.9352,0,491060.8357,2302685.9596,10660.1223,682.7036,2871961.5563,1711965.0373,1543609.6932,72635.1584,3448477.0887,-1218211.483,116387.98834591618,50.0
96,96,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,25,0.8,1,59441.7202,0,436498.5206,2046831.9641,9475.6643,606.8476,2552854.7167,2139956.2967,1929512.1164,90793.948,4310596.3608,-1726007.1052,100936.80076874809,50.0
97,97,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,30,0.8,1,59441.7202,0,436498.5206,2046831.9641,9475.6643,606.8476,2552854.7167,2139956.2967,1929512.1164,90793.948,4310596.3608,-1726007.1052,100936.80076874809,50.0
98,98,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,35,0.8,1,59441.7202,0,436498.5206,2046831.9641,9475.6643,606.8476,2552854.7167,2139956.2967,1929512.1164,90793.948,4310596.3608,-1726007.1052,100936.80076874809,50.0
99,99,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,40,0.8,1,59441.7202,0,436498.5206,2046831.9641,9475.6643,606.8476,2552854.7167,2139956.2967,1929512.1164,90793.948,4310596.3608,-1726007.1052,100936.80076874809,50.0
100,100,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,45,0.8,1,59441.7202,0,436498.5206,2046831.9641,9475.6643,606.8476,2552854.7167,2139956.2967,1929512.1164,90793.948,4310596.3608,-1726007.1052,100936.80076874809,50.0
