,ID,campo,lst_v,cod_list,reg,E_Brent,opex_pc,capex_pb,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
47,47,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,60,1,0.8,0,-1277524.7761,0,-1039080.4608,-1039080.4608,0.0,3448477.0887,0,3191068.3959,0.0,116.46891313473999,116.46891313473999,0.0,113.4282506627961,113.4282506627961,2049.0,2054.0,24.82,25.2066,27.381,26.6661,605413.1736,1735116.4071,3352.721,1070723.3139,4365.7883,611881.5498,1735116.4071,26795.1772,1337423.4843,2710.8111
48,48,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,25,0.9,1,0,-1788693.2565,0,0,0,0.0,4310596.3608,0,2871961.5563,0.0,0.0,0.0,0.0,97.24490571904165,97.24490571904165,2048.0,2020.0,22.1829,0,34.7148,0,541408.2166,2168895.5088,0,927613.4279,6002.959,0,0,0,0,0
49,49,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,30,0.9,1,0,-1788693.2565,0,-2166415.9276,-2166415.9276,0.0,4310596.3608,0,2871961.5563,0.0,22.563654240038968,22.563654240038968,0.0,97.24490571904165,97.24490571904165,2048.0,2031.0,22.1829,14.1764,34.7148,149.6141,541408.2166,2168895.5088,0,927613.4279,6002.959,156855.6834,2168895.5088,0,189677.0423,30341.7777
50,50,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,35,0.9,1,0,-1788693.2565,0,-2092475.2871,-2092475.2871,0.0,4310596.3608,0,2871961.5563,0.0,48.49338053563981,48.49338053563981,0.0,97.24490571904165,97.24490571904165,2048.0,2035.0,22.1829,16.6919,34.7148,69.6145,541408.2166,2168895.5088,0,927613.4279,6002.959,317483.9372,2168895.5088,0,414628.0013,20723.8424
51,51,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,40,0.9,1,0,-1788693.2565,0,-2005471.3192,-2005471.3192,0.0,4310596.3608,0,2871961.5563,0.0,59.5254450949823,59.5254450949823,0.0,97.24490571904165,97.24490571904165,2048.0,2037.0,22.1829,17.9363,34.7148,56.7126,541408.2166,2168895.5088,0,927613.4279,6002.959,381460.6893,2168895.5088,0,562012.0214,17127.1425
52,52,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,45,0.9,1,0,-1788693.2565,0,-1902211.5395,-1902211.5395,0.0,4310596.3608,0,2871961.5563,0.0,84.0352258456531,84.0352258456531,0.0,97.24490571904165,97.24490571904165,2048.0,2043.0,22.1829,20.8094,34.7148,40.1717,541408.2166,2168895.5088,0,927613.4279,6002.959,499237.5729,2168895.5088,0,775589.3677,9667.8254
53,53,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,50,0.9,1,0,-1788693.2565,0,-1788693.2565,-1788693.2565,0.0,4310596.3608,0,2871961.5563,0.0,97.24490571904165,97.24490571904165,0.0,97.24490571904165,97.24490571904165,2048.0,2048.0,22.1829,22.1829,34.7148,34.7148,541408.2166,2168895.5088,0,927613.4279,6002.959,541408.2166,2168895.5088,0,927613.4279,6002.959
54,54,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,55,0.9,1,0,-1788693.2565,0,-1674283.4997,-1674283.4997,0.0,4310596.3608,0,2871961.5563,0.0,100.93680076874809,100.93680076874809,0.0,97.24490571904165,97.24490571904165,2048.0,2052.0,22.1829,22.6345,34.7148,33.4451,541408.2166,2168895.5088,0,927613.4279,6002.959,550043.2525,2168895.5088,338.8774,1049094.2408,4100.1017
55,55,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,60,0.9,1,0,-1788693.2565,0,-1563562.3345,-1563562.3345,0.0,4310596.3608,0,2871961.5563,0.0,101.27731576933917,101.27731576933917,0.0,97.24490571904165,97.24490571904165,2048.0,2054.0,22.1829,22.6859,34.7148,33.3327,541408.2166,2168895.5088,0,927613.4279,6002.959,550693.3948,2168895.5088,3561.8598,1162976.9429,3388.5138
56,56,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,25,0.9,1,0,-1647151.6129,0,-2131426.953,-2131426.953,0.0,4310596.3608,0,2871961.5563,0.0,19.161581737902406,19.161581737902406,0.0,116.38798834591618,116.38798834591618,2053.0,2030.0,22.6747,13.6275,33.3558,194.1321,550565.9446,2168895.5088,793.3432,1076830.549,3727.3652,118087.2812,2109926.6072,0,129962.8909,33375.9554
57,57,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,30,0.9,1,0,-1647151.6129,0,-2121571.007,-2121571.007,0.0,4310596.3608,0,2871961.5563,0.0,48.21864499888854,48.21864499888854,0.0,116.38798834591618,116.38798834591618,2053.0,2034.0,22.6747,16.1242,33.3558,80.5128,550565.9446,2168895.5088,793.3432,1076830.549,3727.3652,279431.3408,2168895.5088,0,349552.0693,22796.2266
